Date,year,month,EPU,MA_12m,decade
2003-11-01,2003,11,38.85626513,57.92215827333332,2000
2003-12-01,2003,12,53.13373679,55.27974809333332,2000
2004-01-01,2004,1,55.86837054,54.95418767916666,2000
2004-02-01,2004,2,57.55554258,51.790572834999985,2000
2004-03-01,2004,3,47.8987523,50.39311485666665,2000
2004-04-01,2004,4,58.92070524,49.13329604499999,2000
2004-05-01,2004,5,37.12159777,49.05267083749999,2000
2004-06-01,2004,6,51.07455418,49.86902334499999,2000
2004-07-01,2004,7,47.37072801,51.54386988083332,2000
2004-08-01,2004,8,44.32878307,50.95528300499999,2000
2004-09-01,2004,9,34.60433438,49.46342667749999,2000
2004-10-01,2004,10,61.89868006,48.90217989333332,2000
2004-11-01,2004,11,48.65249522,50.61472738,2000
2004-12-01,2004,12,73.23189522,49.49762998833332,2000
2005-01-01,2005,1,48.80532803,49.14073553499998,2000
2005-02-01,2005,2,39.65326665,50.324752102499986,2000
2005-03-01,2005,3,41.16379089,51.583020004166656,2000
2005-04-01,2005,4,79.47127508,54.53001158583333,2000
2005-05-01,2005,5,23.71642907,53.74632943333332,2000
2005-06-01,2005,6,46.79182074,52.651617309999985,2000
2005-07-01,2005,7,61.57892682,51.89460686166666,2000
2005-08-01,2005,8,59.42799789,55.976123286666656,2000
2005-09-01,2005,9,69.96823336,57.96265530499999,2000
2005-10-01,2005,10,52.49449423,59.12801286499999,2000
2005-11-01,2005,11,35.51594974,57.45142205999999,2000
2005-12-01,2005,12,64.14776984,58.631382517499986,2000
2006-01-01,2006,1,97.78352513,58.64601780916666,2000
2006-02-01,2006,2,63.49165087,58.16922663,2000
2006-03-01,2006,3,55.14808161,58.159694955833324,2000
2006-04-01,2006,4,59.35218542,54.40203705916665,2000
2006-05-01,2006,5,37.87595456,55.92443101499999,2000
2006-06-01,2006,6,46.96744424,57.88535240166666,2000
2006-07-01,2006,7,55.85743267,57.88548405749999,2000
2006-08-01,2006,8,59.3136178,52.153292831666654,2000
2006-09-01,2006,9,24.8763386,50.175275036666655,2000
2006-10-01,2006,10,70.7632217,50.600094057499994,2000
2006-11-01,2006,11,59.04700638,49.07587865249999,2000
2006-12-01,2006,12,64.14934971,49.00399338166665,2000
2007-01-01,2007,1,28.99723042,48.793076700833325,2000
2007-02-01,2007,2,39.75543733,49.04120861666666,2000
2007-03-01,2007,3,60.24590986,48.27657791249999,2000
2007-04-01,2007,4,41.06160056,51.12298454833333,2000
2007-05-01,2007,5,37.01333131,49.816275415833324,2000
2007-06-01,2007,6,44.43644407,48.784946964166664,2000
2007-07-01,2007,7,58.83501566,50.44337992666666,2000
2007-08-01,2007,8,50.13804935,54.86385451249999,2000
2007-09-01,2007,9,59.03321823,56.08304792333333,2000
2007-10-01,2007,10,55.08271211,62.39143089333333,2000
2007-11-01,2007,11,46.67106496,66.60318745,2000
2007-12-01,2007,12,84.05054526,69.15204556833332,2000
2008-01-01,2008,1,82.04292545,70.69437206666666,2000
2008-02-01,2008,2,54.38575826,76.29514944499999,2000
2008-03-01,2008,3,135.9465055,82.81837376583333,2000
2008-04-01,2008,4,91.60267924,86.56002644666665,2000
2008-05-01,2008,5,67.59962873,94.51398812083333,2000
2008-06-01,2008,6,62.94436205,101.1312656825,2000
2008-07-01,2008,7,126.0443442,104.55551284416667,2000
2008-08-01,2008,8,128.4167412,108.88091747333333,2000
2008-09-01,2008,9,103.9330504,112.92161994333333,2000
2008-10-01,2008,10,150.5302522,111.26369512666663,2000
2008-11-01,2008,11,126.0783957,110.38879524083332,2000
